City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faanui,PF,78.26,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
2,Pop,UZ,82.4,clear sky,40.87,71.11,Ramz Hotel Pap
4,Rikitea,PF,73.38,few clouds,-23.12,-134.97,Pension Maro'i
6,Carnarvon,AU,66.2,clear sky,-24.87,113.63,Hospitality Carnarvon
7,Joshimath,IN,73.38,broken clouds,30.57,79.57,Shivalik Camps & Resort
10,Palmer,US,78.8,broken clouds,42.16,-72.33,Wedgewood Motel
14,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
15,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Vaitape,PF,79.14,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
23,Yellowknife,CA,77.0,broken clouds,62.46,-114.35,The Explorer Hotel
24,Ibra,OM,88.75,scattered clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
25,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Churapcha,RU,80.28,clear sky,62.0,132.43,
31,Souillac,MU,68.0,shower rain,-20.52,57.52,Bils' Villa
32,Fairbanks,US,77.0,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
34,Kichera,RU,76.87,moderate rain,55.94,110.1,
37,Kano,NG,73.4,overcast clouds,12.0,8.52,La Sultana Hotel
38,Tukrah,LY,75.87,clear sky,32.53,20.58,استراحة لاقروتا
39,Turayf,SA,73.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
42,Lisakovsk,KZ,81.61,clear sky,52.54,62.49,"Gostinitsa ""Kontinent"""
43,La Palma,US,72.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
44,Praia Da Vitoria,PT,68.0,few clouds,38.73,-27.07,Hotel Branco I
45,Albany,US,73.0,overcast clouds,42.6,-73.97,
46,Saint-Philippe,RE,68.0,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
50,Hami,CN,87.82,few clouds,42.8,93.45,Laoyutang Resort
52,Jamestown,US,68.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
53,Dalbandin,PK,94.87,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
56,Tyukhtet,RU,70.0,broken clouds,56.54,89.3,
57,Katsuura,JP,90.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
58,Kabanjahe,ID,88.0,scattered clouds,3.1,98.49,Pelindung Bawah Losmen
59,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
60,Weiser,US,93.2,clear sky,44.25,-116.97,The Colonial Motel
61,Amapa,BR,71.02,broken clouds,1.0,-52.0,
62,Odienne,CI,69.55,broken clouds,9.51,-7.57,Oustaz Vame DIAKITE
65,Arraial Do Cabo,BR,68.85,clear sky,-22.97,-42.03,Pousada Porto Praia
66,Vila Velha,BR,66.2,light rain,-20.33,-40.29,Hotel Vitória Palace
67,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
68,Puerto Del Rosario,ES,73.4,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
71,Binzhou,CN,84.94,light rain,37.37,118.02,Hampton By Hilton Binzhou
72,Ca Mau,VN,86.31,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
73,Bengkulu,ID,82.58,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
74,Talkha,EG,67.55,clear sky,31.05,31.38,Almadiafah
75,Victoria,HK,84.0,moderate rain,22.29,114.16,Mini Hotel Central
76,Kulhudhuffushi,MV,82.8,light rain,6.62,73.07,Haajy Guest House 1
78,Alta Floresta,BR,66.43,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
81,Maningrida,AU,82.04,few clouds,-12.07,134.27,Dhukurrdji Lodge
84,Wanning,CN,86.27,light rain,18.8,110.4,Paradise Hotel
87,Nebug,RU,66.92,clear sky,44.17,39.0,Morskoy Klub
88,Norman Wells,CA,82.4,broken clouds,65.28,-126.83,Heritage Hotel
90,Saskylakh,RU,74.79,overcast clouds,71.92,114.08,
93,Vanimo,PG,75.7,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
94,Cairns,AU,77.0,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
95,Kavieng,PG,84.22,moderate rain,-2.57,150.8,Nusa Island Retreat
96,Hithadhoo,MV,83.26,scattered clouds,-0.6,73.08,Scoop Guest House
101,Touros,BR,73.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
102,Kawalu,ID,80.13,broken clouds,-7.38,108.21,KOSAN UNGU UNSIK
104,Puerto Ayora,EC,68.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
105,Butaritari,KI,84.02,clear sky,3.07,172.79,Isles Sunset Lodge
108,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
109,Sabratah,LY,81.21,clear sky,32.79,12.49,مقبرة المجاهديه
111,Atuona,PF,79.36,scattered clouds,-9.8,-139.03,Villa Enata
112,Yerbogachen,RU,74.68,clear sky,61.28,108.01,
114,Lindi,TZ,67.1,clear sky,-10.0,39.72,Lindi paradise house
115,Shelburne,CA,73.4,few clouds,44.08,-80.2,The Retreat at the Farm
117,Samarai,PG,77.25,light rain,-10.62,150.67,Nuli Sapi
118,Cabo San Lucas,MX,89.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
119,Kargasok,RU,72.59,broken clouds,59.06,80.86,Hotel Kargasok
121,Geraldton,AU,66.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
125,Praya,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
126,Kununurra,AU,86.0,few clouds,-15.77,128.73,Hotel Kununurra
127,Ha Tinh,VN,78.26,moderate rain,18.33,105.9,Phú Quý
128,Camp Verde,US,84.99,few clouds,34.56,-111.85,Days Inn by Wyndham Camp Verde Arizona
129,Itarema,BR,77.13,broken clouds,-2.92,-39.92,Windvillage
130,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
131,Lakes Entrance,AU,70.0,few clouds,-37.88,147.98,The Esplanade Resort & Spa
132,Ketovo,RU,78.31,broken clouds,55.35,65.33,Usadba Divnaya
133,Carutapera,BR,75.27,broken clouds,-1.2,-46.02,Lidera
134,Williamsport,US,73.4,light rain,41.24,-77.0,Hampton Inn Williamsport-Downtown
135,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
136,Bonthe,SL,74.79,moderate rain,7.53,-12.51,Bonthe Holiday Village
138,Jiangyou,CN,85.89,broken clouds,31.77,104.72,Shangping Shuyuan Inn
139,Katherine,AU,84.2,clear sky,-14.47,132.27,Pine Tree Motel
140,Bac Lieu,VN,85.69,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
141,Sabla,NG,79.23,broken clouds,12.75,4.71,
142,Pineville,US,78.8,few clouds,31.32,-92.43,"Country Inn & Suites by Radisson, Pineville, LA"
143,Banda Aceh,ID,84.49,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
144,Bulancak,TR,73.4,broken clouds,40.94,38.23,Ada Loft Aparts
145,Akhtubinsk,RU,68.68,scattered clouds,48.28,46.17,Vzlet
146,Tual,ID,78.04,broken clouds,-5.67,132.75,Grand Vilia Hotel
147,Syracuse,IT,75.99,clear sky,37.09,15.28,Hotel Posta
150,Kutum,SD,66.67,moderate rain,14.2,24.67,Dibbo areaمنطقة دبو
152,Komsomolskiy,UZ,82.4,clear sky,40.43,71.72,Ikathouse
154,Estelle,US,84.0,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
155,Novobirilyussy,RU,73.69,scattered clouds,56.95,90.67,Gostinitsa
157,Pecos,US,87.8,clear sky,31.42,-103.49,Knights Inn Pecos
158,Tabou,CI,74.28,overcast clouds,4.42,-7.35,hotêl doufoulougou
159,Tahara,JP,95.0,broken clouds,34.67,137.27,Tahara City Hotel
160,Sturgeon Bay,US,66.2,clear sky,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
163,Nata,PA,79.02,broken clouds,8.33,-80.52,Cabañas Estancia Bayamon
165,Bethel,US,75.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
167,Bud,US,70.0,moderate rain,39.45,-86.18,Madsion Scouts Camp
168,Talnakh,RU,69.8,overcast clouds,69.49,88.4,Talnakh Hotel
170,Khatanga,RU,65.03,light rain,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
171,Chandur Bazar,IN,89.06,clear sky,21.24,77.75,Swami samrth restaurant
172,Udachnyy,RU,73.4,clear sky,66.42,112.4,Gostinitsa Vilyuy
174,Bambous Virieux,MU,69.01,shower rain,-20.34,57.76,Casa Tia Villa
176,Tres Palos,MX,72.99,clear sky,18.18,-101.62,
178,Rabo De Peixe,PT,66.2,scattered clouds,37.8,-25.58,Quinta das Giestas
179,Esil,KZ,81.54,clear sky,51.96,66.4,Egorkino Hotel
180,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
181,Auki,SB,82.58,light rain,-8.77,160.7,Auki Motel
182,Linjiang,CN,79.29,overcast clouds,41.81,126.91,Mingmen Business Hotel
185,Buchanan,LR,75.2,light rain,5.88,-10.05,Kamaneahn Hotel Inc
186,Lagoa,PT,70.74,clear sky,39.05,-27.98,Casa Das Faias
187,Ribeira Grande,PT,70.68,clear sky,38.52,-28.7,Quinta da Meia Eira
188,College,US,77.0,overcast clouds,64.86,-147.8,Pike's Waterfront Lodge
189,San Patricio,MX,82.06,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
191,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
193,Yulara,AU,71.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
194,Jalu,LY,74.91,clear sky,29.03,21.55,Jalu Hotel
196,Vidim,RU,69.8,overcast clouds,56.41,103.11,
197,Chapais,CA,68.0,scattered clouds,49.78,-74.85,Hôtel Opémiska
198,Hue,VN,89.6,broken clouds,16.47,107.6,Saigon Morin Hotel
199,Saint-Pierre,RE,68.0,overcast clouds,-21.34,55.48,Lindsey Hôtel
201,Mahebourg,MU,68.0,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
202,Slave Lake,CA,73.4,clear sky,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
203,Hay River,CA,82.4,scattered clouds,60.82,-115.8,Ptarmigan Inn Hotels
204,Velasco Ibarra,EC,74.37,broken clouds,-1.05,-79.62,White Room Studio
206,Ubinskoye,RU,72.07,broken clouds,55.31,79.68,Gostinitsa Siberia
207,Cabedelo,BR,71.6,light rain,-6.98,-34.83,Lua Mansa Pousada
208,Westport,US,78.8,clear sky,41.14,-73.36,The Westport Inn
211,Kamaishi,JP,77.0,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
212,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
214,Padang,ID,84.69,overcast clouds,-0.95,100.35,Mercure Padang
215,Takoradi,GH,73.18,broken clouds,4.88,-1.76,Raybow International Hotel
217,Nelson Bay,AU,66.99,scattered clouds,-32.72,152.15,Mantra Nelson Bay
220,Kushiro,JP,68.0,broken clouds,42.98,144.37,東横INN釧路十字街
221,Acapulco,MX,82.09,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
222,Jumla,NP,74.55,broken clouds,29.27,82.18,Hotel Sundar Rara Karnali
225,Ballina,AU,73.0,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
226,Narrabri,AU,68.0,clear sky,-30.32,149.78,Crossroads Hotel
227,Zyryanka,RU,65.79,broken clouds,65.75,150.85,Zyryanka
228,Sherbakul,RU,84.2,clear sky,54.63,72.4,
229,Korla,CN,86.76,broken clouds,41.76,86.15,Gulisitan Hotel
230,Wattegama,LK,80.6,scattered clouds,6.8,81.48,
231,Dingle,PH,86.5,overcast clouds,11.0,122.67,Camp Pasica
232,Fort Nelson,CA,71.6,thunderstorm,58.81,-122.7,The Fort Nelson Hotel
233,Osakarovka,KZ,75.34,clear sky,50.56,72.57,Motel' Osakarovka
235,Piacabucu,BR,73.78,light rain,-10.41,-36.43,Piaçabuçu News
236,Yala,TH,86.0,scattered clouds,6.33,101.25,งานแต่ง Murnee - Wahid
239,Turukhansk,RU,69.57,scattered clouds,65.82,87.98,"ООО ""Туруханская пушнина"""
240,Mecca,SA,84.4,overcast clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
242,Codajas,BR,75.47,overcast clouds,-3.84,-62.06,Hotel Tamires
243,Haikou,CN,86.0,light intensity shower rain,20.05,110.34,Sun City Restaurant
244,Ugoofaaru,MV,83.03,overcast clouds,5.67,73.0,Ungoofaaru Inn
245,Hoa Binh,VN,86.0,broken clouds,20.81,105.34,Hoa Dao Hotel
246,Minab,IR,91.4,haze,27.15,57.08,فروشگاه موبایل ترکمانی
250,Pozo Colorado,PY,71.08,clear sky,-23.49,-58.8,Hospedaje la Amistad
252,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
257,Boueni,YT,77.0,broken clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
259,Kidal,ML,86.95,clear sky,18.44,1.41,
261,Onguday,RU,67.86,broken clouds,50.75,86.15,Gostevoy Dom
265,Loa Janan,ID,80.28,moderate rain,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
266,Winona,US,71.6,broken clouds,43.97,-91.77,
267,Karratha,AU,83.07,clear sky,-20.74,116.85,ibis Styles Karratha
