City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faanui,PF,-16.48,-151.75,78.26,82,0,12.93,clear sky
1,Richards Bay,ZA,-28.78,32.04,59.09,85,0,4.54,clear sky
2,Pop,UZ,40.87,71.11,82.4,30,0,6.93,clear sky
3,Castro,BR,-24.79,-50.01,50.47,95,0,3.38,clear sky
4,Rikitea,PF,-23.12,-134.97,73.38,80,19,4.5,few clouds
5,Busselton,AU,-33.65,115.33,57.99,89,43,1.01,light rain
6,Carnarvon,AU,-24.87,113.63,66.2,72,0,16.11,clear sky
7,Joshimath,IN,30.57,79.57,73.38,53,62,4.59,broken clouds
8,Hobart,AU,-42.88,147.33,57.2,41,75,19.46,broken clouds
9,Severo-Kurilsk,RU,50.68,156.12,55.24,82,95,6.71,overcast clouds
10,Palmer,US,42.16,-72.33,78.8,54,75,5.82,broken clouds
11,Husavik,IS,66.04,-17.34,50.0,93,90,3.85,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,37.4,85,99,3.36,overcast clouds
13,Mataura,NZ,-46.19,168.86,53.49,84,100,2.73,overcast clouds
14,Praia,CV,14.92,-23.51,78.8,88,40,4.7,scattered clouds
15,Kapaa,US,22.08,-159.32,80.6,78,40,12.75,light rain
16,Ilulissat,GL,69.22,-51.1,44.6,93,44,1.12,scattered clouds
17,Vaitape,PF,-16.52,-151.75,79.14,80,0,12.93,clear sky
18,Codrington,AU,-38.27,141.97,55.85,66,100,7.63,overcast clouds
19,Kuusamo,FI,65.97,29.18,51.8,93,75,3.36,light intensity shower rain
20,Port Alfred,ZA,-33.59,26.89,58.01,54,0,7.92,clear sky
21,Hermanus,ZA,-34.42,19.23,60.82,44,0,4.7,clear sky
22,Dembi Dolo,ET,8.53,34.8,56.43,91,82,3.38,broken clouds
23,Yellowknife,CA,62.46,-114.35,77.0,50,75,14.99,broken clouds
24,Ibra,OM,22.69,58.53,88.75,50,28,2.28,scattered clouds
25,Vaini,TO,-21.2,-175.2,75.2,73,75,9.17,broken clouds
26,New Norfolk,AU,-42.78,147.06,57.0,41,92,5.01,overcast clouds
27,Tazovskiy,RU,67.47,78.7,58.53,80,98,16.11,overcast clouds
28,Churapcha,RU,62.0,132.43,80.28,25,0,6.33,clear sky
29,Cape Town,ZA,-33.93,18.42,53.6,66,0,9.17,clear sky
30,Arroyo,ES,41.61,-4.8,63.0,87,33,9.17,scattered clouds
31,Souillac,MU,-20.52,57.52,68.0,94,75,11.41,shower rain
32,Fairbanks,US,64.84,-147.72,77.0,47,90,4.7,overcast clouds
33,Bukama,CD,-9.2,25.85,64.17,40,95,3.15,overcast clouds
34,Kichera,RU,55.94,110.1,76.87,56,66,3.56,moderate rain
35,Provideniya,RU,64.38,-173.3,49.41,60,16,10.36,few clouds
36,Tasiilaq,GL,65.61,-37.64,42.8,56,11,2.68,few clouds
37,Kano,NG,12.0,8.52,73.4,94,100,8.05,overcast clouds
38,Tukrah,LY,32.53,20.58,75.87,90,5,4.72,clear sky
39,Turayf,SA,31.67,38.66,73.4,43,0,4.7,clear sky
40,Punta Arenas,CL,-53.15,-70.92,33.8,100,100,10.29,overcast clouds
41,Kristiinankaupunki,FI,62.27,21.38,57.99,86,100,10.18,light rain
42,Lisakovsk,KZ,52.54,62.49,81.61,36,0,10.18,clear sky
43,La Palma,US,33.85,-118.05,72.0,83,1,6.93,clear sky
44,Praia Da Vitoria,PT,38.73,-27.07,68.0,82,20,4.59,few clouds
45,Albany,US,42.6,-73.97,73.0,58,99,2.8,overcast clouds
46,Saint-Philippe,RE,-21.36,55.77,68.0,72,90,9.17,overcast clouds
47,Oksovskiy,RU,62.61,39.9,50.25,90,26,5.57,scattered clouds
48,Lebu,CL,-37.62,-73.65,50.27,94,62,10.33,broken clouds
49,Inuvik,CA,68.35,-133.72,57.2,82,75,12.75,broken clouds
50,Hami,CN,42.8,93.45,87.82,12,16,3.8,few clouds
51,Bredasdorp,ZA,-34.53,20.04,44.6,93,0,5.82,clear sky
52,Jamestown,US,42.1,-79.24,68.0,88,90,5.82,overcast clouds
53,Dalbandin,PK,28.89,64.41,94.87,23,6,5.44,clear sky
54,Mar Del Plata,AR,-38.0,-57.56,51.01,87,100,3.36,overcast clouds
55,Nome,US,64.5,-165.41,63.0,77,75,10.29,broken clouds
56,Tyukhtet,RU,56.54,89.3,70.0,59,76,3.09,broken clouds
57,Katsuura,JP,35.13,140.3,90.0,70,75,5.82,broken clouds
58,Kabanjahe,ID,3.1,98.49,88.0,66,40,3.36,scattered clouds
59,Bathsheba,BB,13.22,-59.52,82.4,78,20,8.05,few clouds
60,Weiser,US,44.25,-116.97,93.2,26,1,4.7,clear sky
61,Amapa,BR,1.0,-52.0,71.02,98,75,0.72,broken clouds
62,Odienne,CI,9.51,-7.57,69.55,96,67,4.07,broken clouds
63,Bluff,NZ,-46.6,168.33,51.31,87,100,8.28,overcast clouds
64,Kodiak,US,57.79,-152.41,57.2,87,90,6.93,overcast clouds
65,Arraial Do Cabo,BR,-22.97,-42.03,68.85,74,4,11.25,clear sky
66,Vila Velha,BR,-20.33,-40.29,66.2,93,90,2.24,light rain
67,Avarua,CK,-21.21,-159.78,71.6,64,100,3.36,overcast clouds
68,Puerto Del Rosario,ES,28.5,-13.86,73.4,83,3,12.75,clear sky
69,Lavrentiya,RU,65.58,-171.0,45.03,70,97,15.01,overcast clouds
70,Nanortalik,GL,60.14,-45.24,45.48,94,100,15.97,overcast clouds
71,Binzhou,CN,37.37,118.02,84.94,74,99,6.69,light rain
72,Ca Mau,VN,9.18,105.15,86.31,71,100,15.57,light rain
73,Bengkulu,ID,-3.8,102.27,82.58,68,99,5.59,overcast clouds
74,Talkha,EG,31.05,31.38,67.55,81,0,5.7,clear sky
75,Victoria,HK,22.29,114.16,84.0,88,100,11.99,moderate rain
76,Kulhudhuffushi,MV,6.62,73.07,82.8,78,100,16.93,light rain
77,Barrow,US,71.29,-156.79,37.4,72,90,10.29,overcast clouds
78,Alta Floresta,BR,-9.88,-56.09,66.43,40,0,4.21,clear sky
79,Chuy,UY,-33.7,-53.46,52.38,91,83,7.23,broken clouds
80,Ulaangom,MN,49.98,92.07,63.88,51,50,5.03,scattered clouds
81,Maningrida,AU,-12.07,134.27,82.04,47,19,11.43,few clouds
82,Pangnirtung,CA,66.15,-65.71,45.82,80,98,1.19,overcast clouds
83,Valdivia,CL,-39.81,-73.25,50.0,100,90,4.7,moderate rain
84,Wanning,CN,18.8,110.4,86.27,76,100,8.97,light rain
85,Dikson,RU,73.51,80.55,51.62,78,11,17.2,few clouds
86,Fortuna,US,40.6,-124.16,59.0,90,14,1.01,few clouds
87,Nebug,RU,44.17,39.0,66.92,66,0,8.21,clear sky
88,Norman Wells,CA,65.28,-126.83,82.4,42,75,2.24,broken clouds
89,Cherskiy,RU,68.75,161.3,54.3,56,74,10.76,broken clouds
90,Saskylakh,RU,71.92,114.08,74.79,36,100,8.39,overcast clouds
91,Honningsvag,NO,70.98,25.97,50.13,82,99,7.27,overcast clouds
92,Butembo,CD,0.15,29.28,57.6,85,70,2.44,broken clouds
93,Vanimo,PG,-2.67,141.3,75.7,91,100,4.99,heavy intensity rain
94,Cairns,AU,-16.92,145.77,77.0,65,90,10.29,overcast clouds
95,Kavieng,PG,-2.57,150.8,84.22,74,28,9.22,moderate rain
96,Hithadhoo,MV,-0.6,73.08,83.26,71,46,10.07,scattered clouds
97,Lata,PT,40.16,-8.33,62.01,94,58,4.0,broken clouds
98,Pevek,RU,69.7,170.31,36.84,90,93,5.53,overcast clouds
99,Lompoc,US,34.64,-120.46,64.4,82,0,9.17,clear sky
100,Chokurdakh,RU,70.63,147.92,60.89,52,93,5.59,overcast clouds
101,Touros,BR,-5.2,-35.46,73.4,94,75,4.7,broken clouds
102,Kawalu,ID,-7.38,108.21,80.13,66,79,4.27,broken clouds
103,Kaitangata,NZ,-46.28,169.85,53.85,81,93,1.19,overcast clouds
104,Puerto Ayora,EC,-0.74,-90.35,68.0,94,96,6.91,overcast clouds
105,Butaritari,KI,3.07,172.79,84.02,75,9,16.04,clear sky
106,East London,ZA,-33.02,27.91,58.8,35,0,7.02,clear sky
107,Beringovskiy,RU,63.05,179.32,50.13,81,100,13.09,overcast clouds
108,Georgetown,MY,5.41,100.34,86.0,70,20,3.36,few clouds
109,Sabratah,LY,32.79,12.49,81.21,32,0,8.32,clear sky
110,Henties Bay,NA,-22.12,14.28,73.8,23,0,20.22,clear sky
111,Atuona,PF,-9.8,-139.03,79.36,76,42,16.75,scattered clouds
112,Yerbogachen,RU,61.28,108.01,74.68,42,0,10.96,clear sky
113,Monteagudo,BO,-19.82,-63.98,56.39,65,35,2.53,scattered clouds
114,Lindi,TZ,-10.0,39.72,67.1,88,3,5.17,clear sky
115,Shelburne,CA,44.08,-80.2,73.4,64,20,8.05,few clouds
116,Hualmay,PE,-11.1,-77.61,59.34,85,4,6.96,clear sky
117,Samarai,PG,-10.62,150.67,77.25,79,63,15.46,light rain
118,Cabo San Lucas,MX,22.89,-109.91,89.6,43,20,5.82,few clouds
119,Kargasok,RU,59.06,80.86,72.59,70,59,6.33,broken clouds
120,Saldanha,ZA,-33.01,17.94,48.2,76,0,6.93,clear sky
121,Geraldton,AU,-28.77,114.6,66.2,52,0,12.75,clear sky
122,Pisco,PE,-13.7,-76.22,55.99,86,0,3.65,clear sky
123,Laerdalsoyri,NO,61.1,7.48,51.01,86,100,4.47,overcast clouds
124,Yar-Sale,RU,66.83,70.83,63.37,73,17,10.94,few clouds
125,Praya,CV,14.92,-23.51,78.8,88,40,4.7,scattered clouds
126,Kununurra,AU,-15.77,128.73,86.0,13,15,8.05,few clouds
127,Ha Tinh,VN,18.33,105.9,78.26,91,100,4.88,moderate rain
128,Camp Verde,US,34.56,-111.85,84.99,37,11,1.99,few clouds
129,Itarema,BR,-2.92,-39.92,77.13,86,81,12.48,broken clouds
130,Hilo,US,19.73,-155.09,80.6,61,90,6.93,overcast clouds
131,Lakes Entrance,AU,-37.88,147.98,70.0,42,23,1.01,few clouds
132,Ketovo,RU,55.35,65.33,78.31,49,73,9.24,broken clouds
133,Carutapera,BR,-1.2,-46.02,75.27,88,72,3.78,broken clouds
134,Williamsport,US,41.24,-77.0,73.4,88,90,2.91,light rain
135,Mareeba,AU,-17.0,145.43,77.0,65,90,10.29,overcast clouds
136,Bonthe,SL,7.53,-12.51,74.79,92,99,12.12,moderate rain
137,Nikolskoye,RU,59.7,30.79,57.99,87,20,4.47,few clouds
138,Jiangyou,CN,31.77,104.72,85.89,65,60,4.38,broken clouds
139,Katherine,AU,-14.47,132.27,84.2,20,2,11.41,clear sky
140,Bac Lieu,VN,9.29,105.72,85.69,72,100,18.19,light rain
141,Sabla,NG,12.75,4.71,79.23,76,63,10.54,broken clouds
142,Pineville,US,31.32,-92.43,78.8,88,20,3.98,few clouds
143,Banda Aceh,ID,5.56,95.32,84.49,69,100,12.3,overcast clouds
144,Bulancak,TR,40.94,38.23,73.4,78,75,1.12,broken clouds
145,Akhtubinsk,RU,48.28,46.17,68.68,59,33,7.09,scattered clouds
146,Tual,ID,-5.67,132.75,78.04,81,61,18.03,broken clouds
147,Syracuse,IT,37.09,15.28,75.99,88,0,4.7,clear sky
148,Thompson,CA,55.74,-97.86,57.2,82,20,1.48,few clouds
149,Narsaq,GL,60.92,-46.05,48.2,70,99,4.7,overcast clouds
150,Kutum,SD,14.2,24.67,66.67,91,100,4.54,moderate rain
151,Valparaiso,CL,-33.04,-71.63,52.0,69,61,5.03,broken clouds
152,Komsomolskiy,UZ,40.43,71.72,82.4,30,0,2.24,clear sky
153,Port Elizabeth,ZA,-33.92,25.57,48.2,93,0,5.82,clear sky
154,Estelle,US,29.85,-90.11,84.0,97,57,5.64,broken clouds
155,Novobirilyussy,RU,56.95,90.67,73.69,51,37,2.08,scattered clouds
156,Tuktoyaktuk,CA,69.45,-133.04,51.8,93,75,19.46,broken clouds
157,Pecos,US,31.42,-103.49,87.8,25,1,4.7,clear sky
158,Tabou,CI,4.42,-7.35,74.28,83,89,9.22,overcast clouds
159,Tahara,JP,34.67,137.27,95.0,78,75,13.87,broken clouds
160,Sturgeon Bay,US,44.83,-87.38,66.2,88,1,1.43,clear sky
161,Ekhabi,RU,53.51,142.97,52.65,96,100,14.12,light rain
162,Leningradskiy,RU,69.38,178.42,41.56,76,96,5.84,overcast clouds
163,Nata,PA,8.33,-80.52,79.02,84,78,3.06,broken clouds
164,Moyale,KE,3.52,39.06,61.97,85,81,12.82,broken clouds
165,Bethel,US,41.37,-73.41,75.2,69,1,6.93,clear sky
166,Tiksi,RU,71.69,128.87,50.23,67,72,4.54,broken clouds
167,Bud,US,39.45,-86.18,70.0,98,75,8.1,moderate rain
168,Talnakh,RU,69.49,88.4,69.8,49,98,13.42,overcast clouds
169,Windhoek,NA,-22.56,17.08,50.0,27,0,5.82,clear sky
170,Khatanga,RU,71.97,102.5,65.03,79,100,7.94,light rain
171,Chandur Bazar,IN,21.24,77.75,89.06,58,4,4.03,clear sky
172,Udachnyy,RU,66.42,112.4,73.4,31,6,2.24,clear sky
173,Paamiut,GL,61.99,-49.67,45.25,97,100,13.49,light rain
174,Bambous Virieux,MU,-20.34,57.76,69.01,94,75,11.41,shower rain
175,Severo-Yeniseyskiy,RU,60.37,93.04,64.78,65,77,3.65,broken clouds
176,Tres Palos,MX,18.18,-101.62,72.99,86,4,2.51,clear sky
177,Luderitz,NA,-26.65,15.16,68.0,22,0,6.93,clear sky
178,Rabo De Peixe,PT,37.8,-25.58,66.2,77,40,4.7,scattered clouds
179,Esil,KZ,51.96,66.4,81.54,40,0,11.7,clear sky
180,Kloulklubed,PW,7.04,134.26,84.2,79,75,4.7,broken clouds
181,Auki,SB,-8.77,160.7,82.58,77,52,1.68,light rain
182,Linjiang,CN,41.81,126.91,79.29,66,99,1.23,overcast clouds
183,Vardo,NO,70.37,31.11,49.53,87,100,12.06,overcast clouds
184,Mbekenyera,TZ,-10.0,38.98,61.92,92,3,4.16,clear sky
185,Buchanan,LR,5.88,-10.05,75.2,94,75,12.08,light rain
186,Lagoa,PT,39.05,-27.98,70.74,71,3,8.05,clear sky
187,Ribeira Grande,PT,38.52,-28.7,70.68,68,3,7.09,clear sky
188,College,US,64.86,-147.8,77.0,64,90,4.7,overcast clouds
189,San Patricio,MX,19.22,-104.7,82.06,73,100,2.93,overcast clouds
190,Esperance,AU,-33.87,121.9,57.2,67,100,16.11,overcast clouds
191,Alofi,NU,-19.06,-169.92,75.2,64,100,13.87,overcast clouds
192,Longyearbyen,SJ,78.22,15.64,48.2,87,40,2.24,fog
193,Yulara,AU,-25.24,130.99,71.6,12,0,5.82,clear sky
194,Jalu,LY,29.03,21.55,74.91,72,0,10.09,clear sky
195,Christchurch,NZ,-43.53,172.63,57.0,71,100,6.93,overcast clouds
196,Vidim,RU,56.41,103.11,69.8,59,100,10.49,overcast clouds
197,Chapais,CA,49.78,-74.85,68.0,77,40,2.24,scattered clouds
198,Hue,VN,16.47,107.6,89.6,66,75,3.36,broken clouds
199,Saint-Pierre,RE,-21.34,55.48,68.0,72,90,9.17,overcast clouds
200,Muriwai Beach,NZ,-36.82,174.45,59.0,73,100,3.0,overcast clouds
201,Mahebourg,MU,-20.41,57.7,68.0,94,75,11.41,shower rain
202,Slave Lake,CA,55.28,-114.77,73.4,64,1,12.75,clear sky
203,Hay River,CA,60.82,-115.8,82.4,45,40,11.41,scattered clouds
204,Velasco Ibarra,EC,-1.05,-79.62,74.37,80,79,3.11,broken clouds
205,Kruisfontein,ZA,-34.0,24.73,56.39,42,0,12.71,clear sky
206,Ubinskoye,RU,55.31,79.68,72.07,72,84,2.86,broken clouds
207,Cabedelo,BR,-6.98,-34.83,71.6,100,75,11.41,light rain
208,Westport,US,41.14,-73.36,78.8,78,1,5.82,clear sky
209,Markova,UA,48.68,24.41,50.0,93,0,3.29,clear sky
210,Ngunguru,NZ,-35.62,174.5,55.99,3,100,10.0,light rain
211,Kamaishi,JP,39.27,141.88,77.0,78,75,4.7,broken clouds
212,Ponta Do Sol,PT,32.67,-17.1,69.8,88,20,13.87,few clouds
213,Tuatapere,NZ,-46.13,167.68,51.4,89,100,4.79,overcast clouds
214,Padang,ID,-0.95,100.35,84.69,63,88,4.56,overcast clouds
215,Takoradi,GH,4.88,-1.76,73.18,82,55,7.58,broken clouds
216,Hokitika,NZ,-42.72,170.97,56.66,69,100,3.38,overcast clouds
217,Nelson Bay,AU,-32.72,152.15,66.99,52,27,8.05,scattered clouds
218,Jalapa,MX,19.53,-96.92,62.74,93,69,2.95,broken clouds
219,Beloha,MG,-25.17,45.05,58.35,81,0,10.45,clear sky
220,Kushiro,JP,42.98,144.37,68.0,94,75,10.29,broken clouds
221,Acapulco,MX,16.86,-99.89,82.09,78,82,6.55,broken clouds
222,Jumla,NP,29.27,82.18,74.55,49,55,3.89,broken clouds
223,Jurmala,LV,56.97,23.77,46.4,100,20,1.12,few clouds
224,Alegrete,BR,-29.78,-55.79,62.82,92,0,7.54,clear sky
225,Ballina,AU,-28.87,153.57,73.0,60,75,6.93,broken clouds
226,Narrabri,AU,-30.32,149.78,68.0,32,0,5.82,clear sky
227,Zyryanka,RU,65.75,150.85,65.79,44,58,4.09,broken clouds
228,Sherbakul,RU,54.63,72.4,84.2,32,1,2.24,clear sky
229,Korla,CN,41.76,86.15,86.76,13,81,4.9,broken clouds
230,Wattegama,LK,6.8,81.48,80.6,94,40,9.17,scattered clouds
231,Dingle,PH,11.0,122.67,86.5,67,100,4.94,overcast clouds
232,Fort Nelson,CA,58.81,-122.7,71.6,64,75,9.17,thunderstorm
233,Osakarovka,KZ,50.56,72.57,75.34,44,0,13.82,clear sky
